OBJECTID,Nousijamaa,Nimi,Lyhyt_tunn
4547,49,Raasilanmäki,E4207
4548,71,Radiokatu,H2093
4549,286,Radiokatu,H2092
4550,35,Raetie,H3393
4551,95,Raetie,H3394
4552,7,Rahkatie,V2507
4553,4,Rahkatie,V2508
4554,1,Rahtarinaukio,H4679
4555,1,Rahtarinaukio,H4678
4556,40,Raitamaantie,H1951
4557,269,Raitamaantie,H1950
4558,13,Raitatie,V7014
4559,7,Raitatie,V7015
4560,113,Raivaaja-aukio,E1205
4561,136,Raivaaja-aukio,E1206
4562,4,Raiviontie,H2266
4563,142,Raiviontie,H2265
4564,38,Raiviontie,H2281
4565,175,Raiviontie,H2280
4566,72,Raiviosuonmäki,V1718
4567,25,Raiviosuonmäki,V1719
4568,0,Rajakentänkuja,V9125
4569,12,Rajakulma,Si2703
4570,40,Rajakylän koulu,V9512
4571,78,Rajakylän koulu,V9513
4572,48,Rajakyläntie,V9506
4573,2,Rajakyläntie,V9507
4574,27,Rajakyläntie,V9511
4575,1,Rajalantie,V2409
4576,8,Rajalantie,V2410
4577,6,Rajametsäntie,H2690
4578,99,Rajamänty,E1501
4579,250,Rajamänty,E1502
4580,5,Rajanummi,E7019
4581,0,Rajanummi,E7020
4582,6,Rajapolku,Ki0438
4583,4,Rajapolku,Ki0439
4584,7,Rajaportti,E7103
4585,59,Rajaportti,E7104
4586,1,Rajapysäkki,H5104
4587,3,Rajapysäkki,H5111
4588,1,Rajapyörre,E7929
4589,2,Rajasaarentie,H1285
4590,34,Rajasaarentie,H1286
4591,15,Rajatie,V9310
4592,58,Rajatie,V9311
4593,2,Rajaveräjänmäki,Si2901
4594,0,Rajaveräjänmäki,Si2902
4595,0,Rajontie,Ki1444
4596,3,Rajontie,Ki1445
4597,3,Rakentajantie,Ki1007
4598,127,Rakovalkeantie,H2284
4599,1,Rakuunantie,H1458
4600,3,Rakuunantie,H1456
4601,2,Rakuunantie 8,H1376
4602,34,Ramsaynkuja,E5112
4603,2,Ramsaynkuja,E5171
4604,232,Ramsinniementie,H4557
4605,209,Ramsinniementie,H4558
4606,19,Ramsiontie,E4518
4607,2,Rannikkolaivurintie,H4137
4608,143,Rannikkolaivurintie,H4138
4609,105,Rantakartanontie,H4345
4610,40,Rantakartanontie,H4344
4611,13,Rantakiventie,H4938
4612,6,Rantakiventie,H4939
4613,5,Rantakiventie,H4940
4614,11,Rantakukankuja,V6320
4615,2,Rantaniitty,Ki0257
4616,3,Rantaniitty,Ki0258
4617,14,Rantapuisto,H4914
4618,3,Rantatie,Si0909
4619,0,Rantatöyry,H4051
4620,17,Rapakivenkaari,H3231
4621,134,Rapakivenkaari,H3232
4622,107,Rapakivenkuja,H3229
4623,320,Rapakivenkuja,H3230
4624,2,Rapolantie,H4433
4625,594,Rapolantie,H4434
4626,1,Rapuojantie,V9207
4627,1,Rapuojantie,V9208
4628,83,Rasinkatu,V7418
4629,18,Rasinkatu,V7419
4630,2,Rasinrinne,V7420
4631,7,Rasinrinne,V7421
4632,475,Rastaskukkula,E1848
4633,7,Rastasmäki,E1850
4634,29,Rastasmäki,E1851
4635,8,Rastasniityntie,E1406
4636,74,Rastasniityntie,E1407
4637,9,Rastaspuisto,E1849
4638,1,Rastila(M),H4552
4639,1,Rastila(M),H4607
4640,91,Rastila(M),H4608
4641,2,Rastilantie 11,H4624
4642,32,Rastilantie 11,H4623
4643,3,Rastilantie 17,H4622
4644,19,Rastilantie 17,H4621
4645,113,Ratamestarinkatu,H2166
4646,8,Ratasmyllyntie,H4233
4647,120,Ratasmyllyntie,H4234
4648,11,Ratavallintie,H3734
4649,44,Ratavallintie,E6004
4650,1,Ratavallintie,E6007
4651,27,Ratikkamuseo,H1329
4652,69,Ratikkamuseo,H1328
4653,17,Ratsastuskoulu,Ke0507
4654,537,Ratsukatu,E1016
4655,0,Ratsutori,E1129
4656,488,Raudikkokuja,V9414
4657,284,Raudikkopolku,V9416
4658,342,Raudikkopolku,V9417
4659,2,Raudunkulma,E2076
4660,0,Rauduntie,E2077
4661,65,Rauduntie,E2078
4662,1,Rauhamäki,E6421
4663,10,Rauhamäki,E6422
4664,86,Raumantie,H1434
4665,110,Raumantie,H1417
4666,34,Rauskutie,V8503
4667,2,Rautakiskonkuja,E1017
4668,29,Rautakiskonkuja,E1018
4669,60,Rautatientori,H2019
4670,15,Rautatientori,H2053
4671,258,Rautatientori,H2040
4672,3042,Rautatientori,H2041
4673,730,Rautatientori,H2043
4674,501,Rautatientori,H2044
4675,2724,Rautatientori,H2045
4676,1195,Rautatientori,H2047
4677,907,Rautatientori,H2048
4678,720,Rautatientori,H2049
4679,2976,Rautatientori,H2050
4680,1891,Rautatientori,H2051
4681,125,Rautatientori,H2057
4682,9,Rautatientori,H2058
4683,503,Rautatientori,H2042
4684,1386,Rautatientori,H2139
4685,448,Rautkallionkatu,V7416
4686,153,Rautkallionkatu,V7417
4687,32,Ravals,Ki0469
4688,37,Ravals,Ki0470
4689,13,Ravalsinkuja,Ki0433
4690,9,Ravalsinkuja,Ki0434
4691,30,Ravalsintie,Ki0472
4692,14,Ravalsintie,Ki0473
4693,3,Ravuntie,V8612
4694,3,Ravuntie,V8615
4695,0,Ravurinpolku,V9404
4696,0,Ravurinpolku,V9405
4697,1,Ravurinpuisto,V9496
4698,0,Ravurinpuisto,V9497
4699,7,Reelinki,H5083
4700,6,Reelinki,H5084
4701,117,Reginankuja,H4077
4702,236,Reginankuja,H4076
4703,63,Reijolankatu,H2077
4704,699,Reijolankatu,H2076
4705,42,Reittimäki,E4955
4706,67,Reittimäki,E4956
4707,6,Reiviikintie,E4508
4708,4,Rekikuja,H4339
4709,2,Rekipellontie,H4861
4710,6,Rekola,V7224
4711,48,Rekolan koulu,V7398
4712,6,Rekolanmäki,V7211
4713,3,Renginpolku,H1545
4714,29,Renginpolku,H1544
4715,77,Reposalmentie,H4126
4716,37,Reposalmentie,H4125
4717,0,Repovuorentie,H2670
4718,0,Repovuorentie,H2671
4719,1,Repovuori,H2251
4720,136,Repovuori,H2250
4721,0,Reserviläisentie,E1965
4722,1,Reunakuja,V3213
4723,17,Reunakuja,V3214
4724,0,Reunarinne,V3211
4725,10,Reunarinne,V3212
4726,27,Reviisorinkatu,E6133
4727,11,Reviisorinkatu,E6134
4728,4,Revontulentie,H3776
4729,7,Revontulentie,H3291
4730,185,Revontulentie,H3290
4731,13,Riekkotie,V8110
4732,105,Riekkotie,V8111
4733,21,Riiantie,E5131
4734,25,Riiantie,E5132
4735,123,Riihenkulma,H3252
4736,154,Riihenkulma,H3251
4737,79,Riihikuja,V1416
4738,29,Riihikuja,V1417
4739,14,Riihimiehentie,V1436
4740,541,Riihipellontie,H1534
4741,65,Riihipellontie,H1535
4742,4,Riihipellontie,H1822
4743,3,Riihitonttu,E2120
4744,21,Riihitonttu,E2121
4745,7,Riilahdenristi,E4149
4746,13,Riilahdenristi,E4150
4747,2,Riilahti,E4439
4748,3,Riilahti,E4440
4749,103,Riimukallio,E6132
4750,2,Riimukallio,E6151
4751,37,Riimukuja,V9639
4752,104,Riimukuja,V9640
4753,1,Riimusauvantie,H3772
4754,26,Riipilä,V3215
4755,0,Riipilänkuja,V3203
4756,1,Riipilänkuja,V3204
4757,47,Riipiläntie,V2332
4758,0,Riipiläntie 63,V2402
4759,42,Riistatie,E1531
4760,139,Riistatie,E1532
4761,1,Riistavuorenkuja,H1723
4762,0,Riistavuorenkuja,H1724
4763,1,Riistavuorenkuja,H1725
4764,53,Riistavuori,H1671
4765,103,Riistavuori,H1670
4766,3,Riitantie,V7308
4767,0,Rimapuisto,V9503
4768,11,Rinnekodin ostoskesk,E7949
4769,1,Rinnekodin ostoskesk,E7955
4770,0,Rinnetie,E1451
4771,12,Rinnetie,E1452
4772,13,Rintamasotilaantie,H3333
4773,39,Rintamasotilaantie,H3332
4774,3,Rintamäentanhua,E6238
4775,45,Rintamäentanhua,E6239
4776,6,Ripusuontie,H2279
4777,107,Ripusuontie,H2278
4778,0,Ripusuontie,H2665
4779,8,Riskutie,H4375
4780,62,Riskutie,H4376
4781,3,Riskutie,H4349
4782,52,Riskutie,H4348
4783,70,Ristikalliontie,Ki0719
4784,11,Ristikalliontie,Ki0720
4785,601,Ristikkokatu,H3021
4786,237,Ristikkokatu,H3022
4787,43,Ristiniementie,E4025
4788,158,Ristiniementie,E4063
4789,0,Ristinummentie,Ki1318
4790,1,Ristinummentie,Ki1320
4791,37,Ristipellontie,H1537
4792,450,Ristipellontie,H1536
4793,43,Ristipuro,V6708
4794,55,Ristipuro,V6709
4795,20,Risto Rytin tie,H4021
4796,35,Risto Rytin tie,H4020
4797,0,Ritakatu,Ke0107
4798,41,Ritakatu,Ke0108
4799,16,Ritakuja,V4129
4800,15,Ritakuja,V4130
4801,2,Ritamäentie,Si2031
4802,0,Ritamäentie,Si2032
4803,12,Ritaritie,V2323
4804,35,Ritaritie,V2324
4805,0,Ritokalliontie,H1477
4806,0,Ritolehto,H1473
4807,0,Ritolehto,H1472
4808,7,Riukukuja,H1826
4809,39,Robert Huberin tie,V5231
4810,1,Rohkatie,H2661
4811,0,Rohkatie,H2662
4812,372,Roihupelto,H4231
4813,178,Roihupelto,H4232
4814,290,Roihuvuoren kirkko,H4207
4815,132,Roihuvuoren kirkko,H4206
4816,7,Roihuvuoren vanhaink,H4774
4817,20,Roihuvuorentie,H4184
4818,0,Rosendalinrinki,V5015
4819,37,Rosendalinrinki,V5022
4820,1,Rosenlundintie,V7410
4821,0,Rosenlundintie,V7411
4822,30,Rubiiniaukio,V2336
4823,7,Rubiiniaukio,V2337
4824,7,Rudolfintie,H4097
4825,467,Rudolfintie,H
4826,0,Rudolfintie,H4727
4827,1,Rudolfintie,H4726
4828,2,Ruispelto,E7105
4829,30,Ruispelto,E7106
4830,5,Rukatunturintie,H4899
4831,6,Rukkilanpolku,H1583
4832,140,Rukkilanpolku,H1582
4833,0,Rullaniementie,E4410
4834,65,Rullaniementie,E4411
4835,96,Rumpalintie,V7117
4836,46,Rumpalintie,V7118
4837,6,Runkokuja,V2421
4838,16,Runonlaulajantie,H1702
4839,39,Runonlaulajantie,H1703
4840,38,Runotie,V7138
4841,71,Runotie,V7139
4842,215,Ruoholahdenkatu,H1009
4843,204,Ruoholahti(M),H0214
4844,83,Ruoholahti(M),H0213
4845,7,Ruokkitie,V8709
4846,92,Ruosilanpolku,H1573
4847,621,Ruosilanpolku,H1572
4848,3,Ruotsinojantie,Si1704
4849,1,Ruotsinsalmentie,H4842
4850,113,Ruotutorpankuja,H3236
4851,10,Ruotutorpankuja,H3235
4852,14,Ruskatie,E7212
4853,92,Ruskatie,E7213
4854,14,Ruskeasannantie,V6701
4855,3,Ruskeasannantie,V6702
4856,9,Ruskeasanta,V6715
4857,2,Ruskeasanta,V6716
