"","Departure.station.id","x","y","Rides_total"
"54","054",24.8766657996794,60.1583841916575,2798
"55","055",24.8620200832623,60.1578749328793,1160
"56","056",24.8603118531172,60.1653590878524,1366
"57","057",24.8828103623042,60.1604153459526,2445
"58","058",24.8899154000946,60.1611858173089,2550
"59","059",24.9009334858186,60.164784170294,3588
"60","060",24.90279681,60.161252848,1713
"61","061",24.9096920006591,60.158927591706,1537
"62","062",24.9162412896547,60.1592963414953,2962
"63","063",24.9214896008223,60.1619310923994,4462
"64","064",24.9203435489542,60.1568077714966,2825
"65","065",24.9311978237832,60.1535144787873,1281
"66","066",24.9592122677265,60.1552178275344,1287
"67","067",24.9340656851355,60.160087584362,1347
"68","068",24.9368050446952,60.1618574790512,2562
"69","069",24.9314215703651,60.1656801793916,1417
"70","070",24.9224112000483,60.1731472920894,2800
"71","071",24.9076704246974,60.1733331469852,1321
"72","072",24.9155261617436,60.1755926611589,2875
"73","073",24.91325039954,60.1792966924742,1361
"74","074",24.9110579020192,60.1831258058734,1833
"75","075",24.919883700552,60.1838636970684,3085
"76","076",24.924961245284,60.1844935075188,5211
"77","077",24.9172924251712,60.1852461094041,1889
"78","078",24.9180102002596,60.1878351921237,3175
"79","079",24.9292125301786,60.1892523422817,1616
"80","080",24.9204971353408,60.1893228039601,2446
"81","081",24.9123717007068,60.1883090916703,1753
"82","082",24.912893019047,60.1909233737999,3323
"83","083",24.9083351006824,60.1902194919139,2217
"84","084",24.8999261202594,60.1912061418589,1678
"85","085",24.9057885671904,60.1934470268502,1588
"86","086",24.9018996998812,60.1952451922329,1678
"87","087",24.9559903941467,60.1882073042861,2360
"88","088",24.9012350212612,60.1990120683446,1473
"89","089",24.8992505554038,60.1975748220279,2955
"90","090",24.8911179001253,60.1944474917836,1724
"91","091",24.8847643214706,60.1884345423222,1667
"92","092",24.8791652000743,60.1926665197597,726
"93","093",24.8713963007609,60.1948357920888,902
"94","094",24.8763012644261,60.1978706012264,2053
"95","095",24.8840193884533,60.1967237851281,2575
"96","096",24.8835764865762,60.199732919393,1191
"97","098",24.8708784784714,60.2038687140902,847
"98","099",24.8559544008311,60.207119292,668
"99","1",24.9502114714031,60.155369615074,139112
"100","10",24.9494728793816,60.165017172741,75123
"101","100",24.8686567195812,60.209690428765,29025
"102","101",24.8798066035013,60.2059834138688,81595
"103","102",NA,NA,1693
"104","103",24.8895209008125,60.2089249922173,56455
"105","104",24.8916816998729,60.2056784923064,29862
"106","105",24.8933660254613,60.2027828953059,53279
"107","106",24.898929699376,60.2034734922503,44668
"108","107",24.9054367957033,60.202377405156,60627
"109","108",24.9182184498931,60.2050064264488,25613
"110","109",24.9223311437335,60.2026940388763,48716
"111","11",24.9510226994024,60.1674572921424,138469
"112","110",24.9248733985577,60.1991509808314,44421
"113","111",24.9267808000548,60.1975723919044,92713
"114","112",24.9332721002285,60.2014381920031,77968
"115","113",24.932799079033,60.1982108580315,196409
"116","114",24.9366332542312,60.1964208157658,82056
"117","115",24.9415225602343,60.1941915204257,78445
"118","116",24.9401592995968,60.1911410923558,126824
